strategy_name,avg_points,std_points,min_points,max_points,champs_correct
perfect_hindsight,1920.0,0.0,1920,1920,14
random_weighted,1377.1,130.6,1070,1570,14
upset_thresh_0.40,1047.1,287.0,500,1480,5
upset_thresh_0.38,1037.1,293.1,500,1490,5
champion_first,1034.3,327.3,520,1580,6
upset_thresh_0.45,1026.4,301.1,500,1540,5
ml_optimized,1012.5,398.6,0,1500,6
optimized_plus_upsets,1007.9,297.7,520,1540,5
upset_thresh_0.42,986.4,289.4,500,1480,4
kenpom_rank,967.9,298.6,530,1510,5
upset_thresh_0.50,967.1,280.3,530,1490,4
ml_favorites,950.6,380.5,0,1490,5
composite_rank,882.9,234.8,490,1210,4
upset_thresh_0.35,857.9,322.4,380,1580,3
seed_history,834.3,222.8,450,1230,2
always_higher_seed,831.4,218.4,470,1210,2
ml_logistic,769.3,290.7,350,1330,3
ml_ensemble,635.0,201.1,430,1260,1
ml_random_forest,617.9,223.4,410,1220,1
chalk_with_upsets,610.0,157.7,330,970,0
ml_gradient_boost,497.1,141.2,320,910,0
